 > iteration=240, temp=6.561, curr= 16, best=16
 > iteration=241, temp=6.561, curr= 20, best=16
 > iteration=242, temp=6.561, curr= 16, best=16
 > iteration=243, temp=6.561, curr= 20, best=16
 > iteration=244, temp=6.561, curr= 16, best=16
 > iteration=245, temp=6.561, curr= 21, best=16
 > iteration=246, temp=6.561, curr= 21, best=16
 > iteration=247, temp=6.561, curr= 21, best=16
 > iteration=248, temp=6.561, curr= 20, best=16
 > iteration=249, temp=6.561, curr= 21, best=16
 > iteration=250, temp=6.561, curr= 21, best=16
 > iteration=251, temp=5.9049, curr= 21, best=16
 > iteration=252, temp=5.9049, curr= 21, best=16
 > iteration=253, temp=5.9049, curr= 21, best=16
 > iteration=254, temp=5.9049, curr= 21, best=16
 > iteration=255, temp=5.9049, curr= 21, best=16
 > iteration=256, temp=5.9049, curr= 16, best=16
 > iteration=257, temp=5.9049, curr= 20, best=16
 > iteration=258, temp=5.9049, curr= 21, best=16
 > iteration=259, temp=5.9049, curr= 20, best=16
 > iteration=260, temp=5.9049, curr= 21, best=16
 > iteration=261, temp=5.9049, curr= 20, best=16
 > iteration=262, temp=5.9049, curr= 21, best=16
 > iteration=263, temp=5.9049, curr= 20, best=16
 > iteration=264, temp=5.9049, curr= 16, best=16
 > iteration=265, temp=5.9049, curr= 20, best=16
 > iteration=266, temp=5.9049, curr= 16, best=16
 > iteration=267, temp=5.9049, curr= 16, best=16
 > iteration=268, temp=5.9049, curr= 16, best=16
 > iteration=269, temp=5.9049, curr= 21, best=16
 > iteration=270, temp=5.9049, curr= 21, best=16
 > iteration=271, temp=5.9049, curr= 21, best=16
 > iteration=272, temp=5.9049, curr= 21, best=16
 > iteration=273, temp=5.9049, curr= 21, best=16
 > iteration=274, temp=5.9049, curr= 20, best=16
 > iteration=275, temp=5.9049, curr= 16, best=16
 > iteration=276, temp=5.9049, curr= 21, best=16
 > iteration=277, temp=5.9049, curr= 21, best=16
 > iteration=278, temp=5.9049, curr= 21, best=16
 > iteration=279, temp=5.9049, curr= 20, best=16
 > iteration=280, temp=5.9049, curr= 20, best=16
 > iteration=281, temp=5.9049, curr= 21, best=16
 > iteration=282, temp=5.9049, curr= 20, best=16
 > iteration=283, temp=5.9049, curr= 20, best=16
 > iteration=284, temp=5.9049, curr= 16, best=16
 > iteration=285, temp=5.9049, curr= 20, best=16
 > iteration=286, temp=5.9049, curr= 21, best=16
 > iteration=287, temp=5.9049, curr= 20, best=16
 > iteration=288, temp=5.9049, curr= 21, best=16
 > iteration=289, temp=5.9049, curr= 20, best=16
 > iteration=290, temp=5.9049, curr= 21, best=16
 > iteration=291, temp=5.9049, curr= 20, best=16
 > iteration=292, temp=5.9049, curr= 20, best=16
 > iteration=293, temp=5.9049, curr= 21, best=16
 > iteration=294, temp=5.9049, curr= 20, best=16
 > iteration=295, temp=5.9049, curr= 16, best=16
 > iteration=296, temp=5.9049, curr= 16, best=16
 > iteration=297, temp=5.9049, curr= 21, best=16
 > iteration=298, temp=5.9049, curr= 16, best=16
 > iteration=299, temp=5.9049, curr= 21, best=16
 > iteration=300, temp=5.9049, curr= 21, best=16
 > iteration=301, temp=5.31441, curr= 16, best=16
 > iteration=302, temp=5.31441, curr= 21, best=16
 > iteration=303, temp=5.31441, curr= 16, best=16
 > iteration=304, temp=5.31441, curr= 16, best=16
 > iteration=305, temp=5.31441, curr= 16, best=16
 > iteration=306, temp=5.31441, curr= 21, best=16
 > iteration=307, temp=5.31441, curr= 21, best=16
 > iteration=308, temp=5.31441, curr= 21, best=16
 > iteration=309, temp=5.31441, curr= 16, best=16
 > iteration=310, temp=5.31441, curr= 16, best=16
 > iteration=311, temp=5.31441, curr= 20, best=16
 > iteration=312, temp=5.31441, curr= 20, best=16
 > iteration=313, temp=5.31441, curr= 20, best=16
 > iteration=314, temp=5.31441, curr= 20, best=16
 > iteration=315, temp=5.31441, curr= 20, best=16
 > iteration=316, temp=5.31441, curr= 20, best=16
 > iteration=317, temp=5.31441, curr= 20, best=16
 > iteration=318, temp=5.31441, curr= 16, best=16
 > iteration=319, temp=5.31441, curr= 20, best=16
 > iteration=320, temp=5.31441, curr= 20, best=16
 > iteration=321, temp=5.31441, curr= 20, best=16
 > iteration=322, temp=5.31441, curr= 20, best=16
 > iteration=323, temp=5.31441, curr= 20, best=16
 > iteration=324, temp=5.31441, curr= 20, best=16
 > iteration=325, temp=5.31441, curr= 20, best=16
 > iteration=326, temp=5.31441, curr= 20, best=16
 > iteration=327, temp=5.31441, curr= 20, best=16
 > iteration=328, temp=5.31441, curr= 20, best=16
 > iteration=329, temp=5.31441, curr= 20, best=16
 > iteration=330, temp=5.31441, curr= 16, best=16
 > iteration=331, temp=5.31441, curr= 21, best=16
 > iteration=332, temp=5.31441, curr= 21, best=16
 > iteration=333, temp=5.31441, curr= 21, best=16
 > iteration=334, temp=5.31441, curr= 21, best=16
 > iteration=335, temp=5.31441, curr= 21, best=16
 > iteration=336, temp=5.31441, curr= 20, best=16
 > iteration=337, temp=5.31441, curr= 21, best=16
 > iteration=338, temp=5.31441, curr= 20, best=16
 > iteration=339, temp=5.31441, curr= 20, best=16
 > iteration=340, temp=5.31441, curr= 16, best=16
 > iteration=341, temp=5.31441, curr= 21, best=16
 > iteration=342, temp=5.31441, curr= 21, best=16
 > iteration=343, temp=5.31441, curr= 21, best=16
 > iteration=344, temp=5.31441, curr= 20, best=16
 > iteration=345, temp=5.31441, curr= 16, best=16
 > iteration=346, temp=5.31441, curr= 21, best=16
 > iteration=347, temp=5.31441, curr= 21, best=16
 > iteration=348, temp=5.31441, curr= 20, best=16
 > iteration=349, temp=5.31441, curr= 16, best=16
 > iteration=350, temp=5.31441, curr= 21, best=16
 > iteration=351, temp=4.78297, curr= 21, best=16
 > iteration=352, temp=4.78297, curr= 21, best=16
 > iteration=353, temp=4.78297, curr= 21, best=16
 > iteration=354, temp=4.78297, curr= 20, best=16
 > iteration=355, temp=4.78297, curr= 21, best=16
 > iteration=356, temp=4.78297, curr= 20, best=16
 > iteration=357, temp=4.78297, curr= 21, best=16
 > iteration=358, temp=4.78297, curr= 21, best=16
 > iteration=359, temp=4.78297, curr= 21, best=16
 > iteration=360, temp=4.78297, curr= 21, best=16
 > iteration=361, temp=4.78297, curr= 21, best=16
 > iteration=362, temp=4.78297, curr= 21, best=16
 > iteration=363, temp=4.78297, curr= 16, best=16
 > iteration=364, temp=4.78297, curr= 21, best=16
 > iteration=365, temp=4.78297, curr= 16, best=16
 > iteration=366, temp=4.78297, curr= 21, best=16
 > iteration=367, temp=4.78297, curr= 21, best=16
 > iteration=368, temp=4.78297, curr= 20, best=16
 > iteration=369, temp=4.78297, curr= 20, best=16
 > iteration=370, temp=4.78297, curr= 16, best=16
 > iteration=371, temp=4.78297, curr= 20, best=16
 > iteration=372, temp=4.78297, curr= 21, best=16
 > iteration=373, temp=4.78297, curr= 21, best=16
 > iteration=374, temp=4.78297, curr= 21, best=16
 > iteration=375, temp=4.78297, curr= 16, best=16
 > iteration=376, temp=4.78297, curr= 21, best=16
 > iteration=377, temp=4.78297, curr= 21, best=16
 > iteration=378, temp=4.78297, curr= 21, best=16
 > iteration=379, temp=4.78297, curr= 21, best=16
 > iteration=380, temp=4.78297, curr= 21, best=16
 > iteration=381, temp=4.78297, curr= 21, best=16
 > iteration=382, temp=4.78297, curr= 16, best=16
 > iteration=383, temp=4.78297, curr= 16, best=16
 > iteration=384, temp=4.78297, curr= 16, best=16
 > iteration=385, temp=4.78297, curr= 16, best=16
 > iteration=386, temp=4.78297, curr= 16, best=16
 > iteration=387, temp=4.78297, curr= 21, best=16
 > iteration=388, temp=4.78297, curr= 16, best=16
 > iteration=389, temp=4.78297, curr= 16, best=16
 > iteration=390, temp=4.78297, curr= 21, best=16
 > iteration=391, temp=4.78297, curr= 21, best=16
 > iteration=392, temp=4.78297, curr= 21, best=16
 > iteration=393, temp=4.78297, curr= 16, best=16
 > iteration=394, temp=4.78297, curr= 16, best=16
 > iteration=395, temp=4.78297, curr= 21, best=16
 > iteration=396, temp=4.78297, curr= 21, best=16
 > iteration=397, temp=4.78297, curr= 21, best=16
 > iteration=398, temp=4.78297, curr= 21, best=16
 > iteration=399, temp=4.78297, curr= 21, best=16
 > iteration=400, temp=4.78297, curr= 20, best=16
Execution time 6.451813697814941
16
         12850935 function calls (10847276 primitive calls) in 8.780 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    274/1    0.009    0.000    8.781    8.781 {built-in method exec}
        1    0.000    0.000    8.781    8.781 simulated_annealing.py:4(<module>)
        1    0.005    0.005    6.546    6.546 simulated_annealing.py:31(simulated_annealing)
      400    0.002    0.000    5.245    0.013 simulated_annealing.py:16(create_neighbor)
      400    0.035    0.000    5.237    0.013 solution.py:329(create_neighbor)
1818000/3606    2.211    0.000    4.928    0.001 copy.py:137(deepcopy)
64556/7084    0.316    0.000    4.904    0.001 copy.py:272(_reconstruct)
82669/18096    0.096    0.000    4.521    0.000 copy.py:215(_deepcopy_list)
59067/14719    0.533    0.000    4.306    0.000 copy.py:242(_deepcopy_dict)
        4    0.000    0.000    2.170    0.542 pyplot.py:165(pause)
        4    0.000    0.000    1.853    0.463 backend_tkagg.py:501(start_event_loop)
        4    0.002    0.000    1.853    0.463 backend_bases.py:2384(start_event_loop_default)
      148    1.506    0.010    1.506    0.010 {built-in method sleep}
      401    0.047    0.000    1.436    0.004 solution.py:77(forward_traversal)
    16/12    0.000    0.000    1.040    0.087 backend_tkagg.py:347(draw)
       16    0.000    0.000    0.953    0.060 backend_agg.py:440(draw)
  2158/16    0.007    0.000    0.948    0.059 artist.py:54(draw_wrapper)
       16    0.000    0.000    0.948    0.059 figure.py:954(draw)
       15    0.001    0.000    0.836    0.056 axes.py:1970(draw)
       30    0.001    0.000    0.678    0.023 axis.py:1084(draw)
  292/246    0.241    0.001    0.666    0.003 {method 'call' of 'tkapp' objects}
    29/17    0.000    0.000    0.492    0.029 __init__.py:1531(__call__)
        4    0.000    0.000    0.420    0.105 solution.py:436(plot)
        4    0.001    0.000    0.420    0.105 plotter.py:28(plot_solution)
        8    0.000    0.000    0.418    0.052 __init__.py:583(callit)
        8    0.000    0.000    0.418    0.052 backend_tkagg.py:362(idle_draw)
  3616688    0.410    0.000    0.410    0.000 {method 'get' of 'dict' objects}
      150    0.000    0.000    0.407    0.003 __init__.py:1015(update)
      374    0.004    0.000    0.402    0.001 axis.py:225(draw)
    61080    0.251    0.000    0.370    0.000 copy.py:223(_deepcopy_tuple)
